Old Ref ID;Ref ID;Record Last Updated (dd/mm/yyyy);Operator (or Applicant);Site Name;Technology Type;Storage Type;Storage Co-location REPD Ref ID;Installed Capacity (MWelec);Share Community Scheme;CHP Enabled;CfD Allocation Round;RO Banding (ROC/MWh);FiT Tariff (p/kWh);CfD Capacity (MW);Turbine Capacity (MW);No. of Turbines;Height of Turbines (m);Mounting Type for Solar;Development Status;Development Status (short);Are they re-applying (New REPD Ref);Are they re-applying (Old REPD Ref) ;Address;County;Region;Country;Post Code;X-coordinate;Y-coordinate;Planning Authority;Planning Application Reference;Appeal Reference;Secretary of State Reference;Type of Secretary of State Intervention;Judicial Review;Offshore Wind Round;Planning Application Submitted;Planning Application Withdrawn;Planning Permission Refused;Appeal Lodged;Appeal Withdrawn;Appeal Refused;Appeal Granted;Planning Permission Granted;Secretary of State - Intervened;Secretary of State - Refusal;Secretary of State - Granted;Planning Permission Expired;Under Construction;Operational;Heat Network Ref;Solar Site Area (sqm)
N00460W;2514;18.05.2015;EDF Energy - Northern Offshore Windfarm Ltd;Teeside Offshore Wind Farm;Wind Offshore;;;62,00;;;;;;;2,30;27;;;Operational;Operational;;;Coast of Coatham Sands at Redcar, the nearest within a mile of the beach;Offshore;Offshore;England;;458470;528174;DECC (S36);R/2004/0305/FF;;;;;01.01.1900;22.03.2005;;;;;;;17.09.2007;;;;;01.02.2012;31.08.2013;;
N00457W;2489;20.11.2017;Orsted (formerly Dong Energy);Gunfleet Sands II ;Wind Offshore;;;64,80;;;;;;;3,60;18;;;Operational;Operational;;;5 Miles from the Essex coast at Frinton-on-Sea;Offshore;Offshore;England;;624262;208150;DECC (S36);;;;;;02.01.1900;18.06.2007;;;;;;;28.02.2008;;;;;01.04.2009;24.07.2009;;
N00561W;2496;18.08.2017;E.ON UK;Robin Rigg East;Wind Offshore;;;84,00;;;;;;;3,00;28;;;Operational;Operational;;;9.5km Maryport/8.5km off Rock Cliffe ;Offshore;Offshore;Scotland;;291005;542348;Scottish Government (S36);;;;;;01.01.1900;14.06.2002;;;;;;;16.06.2003;;;;;01.12.2006;28.04.2010;;
N00445W;2487;27.02.2018;Orsted (formerly Dong Energy);Burbo Bank;Wind Offshore;;;90,00;;;;;;;3,60;25;;;Operational;Operational;;;Burbo Flats, Liverpool Bay, approximately 6.4km (4.0 miles) from the Sefton coastline and 7.2km (4.5 miles) from North Wirral.;Offshore;Offshore;England;;321476;399706;DECC (S36);;;;;;01.01.1900;12.04.2002;;;;;;;14.07.2006;;;;;01.08.2006;18.10.2007;;
N00439W;2492;27.10.2017;Vattenfall;Kentish Flats ;Wind Offshore;;;90,00;;;;;;;3,00;30;;;Operational;Operational;;;Saltend, Thames Estuary, North Sea;Offshore;Offshore;England;;615015;178055;DECC (S36);;;;;;01.01.1900;15.08.2002;;;;;;;01.03.2003;;;;;01.06.2004;10.09.2005;;
N00434W;2495;23.08.2017;RWE Npower;Rhyl Flats ;Wind Offshore;;;90,00;;;;;;;3,60;25;;;Operational;Operational;;;8km Abergele, five miles off the North Wales coast in Liverpool Bay;Offshore;Offshore;Wales;;290990;388002;DECC (S36);;;;;;01.01.1900;25.03.2002;;;;;;;01.01.2003;;;;;01.09.2007;28.12.2009;;
N00462W;2497;18.08.2017;E.ON UK;Robin Rigg West;Wind Offshore;;;90,00;;;;;;;3,00;30;;;Operational;Operational;;;9.5km Maryport/8.5km off Rock Cliffe ;Offshore;Offshore;Scotland;;288785;540522;Scottish Government (S36);;;;;;01.01.1900;14.06.2002;;;;;;;16.06.2003;;;;;01.12.2006;18.07.2009;;
N00461W;2546;20.11.2017;Orsted (formerly Dong Energy);Barrow ;Wind Offshore;;;90,00;;;;;;;3,00;30;;;Operational;Operational;;;7km Walney Island, near Barrow-in-Furness;Offshore;Offshore;England;;314978;455827;DECC (S36);;;;;;01.01.1900;10.05.2002;;;;;;;12.03.2003;;;;;01.05.2005;01.04.2006;;
A0440;2505;30.04.2019;Vattenfall;European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site);Wind Offshore;;;96,80;;;;;;;8,80;11;;;Operational;Operational;;;;Offshore;Offshore;Scotland;;395693;806148;Scottish Government (S36);;;;;;Demo;31.08.2011;;;;;;;26.03.2013;;;;;07.04.2018;07.09.2018;;
N00562W;2491;24.08.2017;XceCo;Inner Dowsing ;Wind Offshore;;;97,20;;;;;;;3,60;27;;;Operational;Operational;;;5.2km Ingoldmells ;Offshore;Offshore;England;;563561;368447;DECC (S36);;;;;;01.01.1900;11.09.2002;;;;;;;23.09.2003;;;;;01.03.2008;20.04.2008;;
N00437W;2493;24.08.2017;XceCo;Lynn;Wind Offshore;;;97,20;;;;;;;3,60;27;;;Operational;Operational;;;5.2km Skegness ;Offshore;Offshore;England;;564095;362638;DECC (S36);;;;;;01.01.1900;29.10.2003;;;;;;;14.08.2004;;;;;01.03.2008;15.03.2008;;
;7861;17.02.2023;Simply Blue Energy;Erebus - Floating Offshore Wind Demonstration Project;Wind Offshore;;;100,00;;;;;;;;10;150,00;;Planning Permission Granted;Awaiting Construction;;;Approximately 45 km off the south west coast of ;Offshore;Offshore;Wales;;196768;194102;Welsh Government (NSIP);DNS/3251528;;;;;;22.12.2021;;;;;;;17.02.2023;;;;;;;;
;11035;11.07.2024;Orsted / Simply Blue Group;Peterhead - The Salamander Project;Wind Offshore;;;100,00;;No;;;;;14,00;7;172,50;;Planning Application Submitted;Application Submitted;;;INTOG 3, North East Coast off Scotland;Offshore;Offshore;Scotland;AB42;479551;858320;Marine Scotland;;;;;;;24.04.2024;;;;;;;;;;;;;;;
;11852;12.04.2024;Flotation Energy / Cobra Instalaciones Servicios;Whitecross - Offshore Wind Farm;Wind Offshore;;;100,00;;No;;;;;12,50;8;284,00;;Planning Application Submitted;Application Submitted;;;52km off the North Cornwall and North Devon coast;Offshore;Offshore;England;EX39 4LF;248194;132186;Marine Scotland;MLA/2023/00113;;;;;;14.03.2023;;;;;;;;;;;;;;;
;11989;02.08.2023;Highland Wind Limited / Copenhagen Infrastructure Partners / Eurus Energy;Pentland Floating Offshore Wind Farm;Wind Offshore;;;100,00;;No;;;;;14,00;7;300,00;;Planning Permission Granted;Awaiting Construction;;;12 nautical miles 6.5 kilometres off the coast of Dounreay;Offshore;Offshore;Scotland;KW14;311532;968614;Marine Scotland;NA;;;;;;09.08.2022;;;;;;;28.06.2023;;;;;;;;
01041W4;2490;01.05.2018;Orsted (formerly Dong Energy);Gunfleet Sands Offshore Wind Scheme;Wind Offshore;;;108,00;;;;;;;3,60;30;;;Operational;Operational;;;Gunfleet Sands 4 miles offshore from Holland-on-Sea Nr Clacton-on-Sea Essex;Offshore;Offshore;England;;622317;208468;DECC (S36);;;;;;01.01.1900;01.03.2002;;;;;;;01.03.2004;;;;;01.04.2009;24.07.2009;;
N00435W;2509;23.08.2017;Vattenfall;Ormonde Offshore;Wind Offshore;;;150,00;;;;;;;5,00;30;;;Operational;Operational;;;10km off Barrow on Furness, Heysham;Offshore;Offshore;England;;306000;466842;DECC (S36);;;;;;01.01.1900;12.07.2005;;;;;;;04.09.2008;;;;;01.06.2010;22.02.2012;;
N00550W;2500;03.09.2020;Orsted (formerly Dong Energy);Walney 1;Wind Offshore;;;183,60;;;;;;;3,60;51;;;Operational;Operational;;;14km off Walney Island, Irish Sea;Offshore;Offshore;England;;300833;461449;DECC (S36);;;;;;02.01.1900;31.03.2006;;;;;;;07.11.2007;;;;;10.03.2010;30.05.2011;;
AA183;2506;03.09.2020;Orsted (formerly Dong Energy);Walney 2;Wind Offshore;;;183,60;;;;;;;3,60;51;;;Operational;Operational;;;14km off Walney Island, Irish Sea;Offshore;Offshore;England;;294836;466177;DECC (S36);;;;;;02.01.1900;31.03.2006;;;;;;;07.11.2007;;;;;09.04.2011;06.04.2012;;
N00556W;2545;05.04.2018;Orsted (formerly Dong Energy);Westermost Rough A;Wind Offshore;;;210,00;;;;;;;6,00;35;;;Operational;Operational;;;25 km north of Spurn Head at the River Humber estuary.;Offshore;Offshore;England;;571600;358680;DECC (S36);;;;;;02.01.1900;17.11.2009;;;;;;;29.11.2011;;;;;28.02.2014;26.05.2015;;
N00448W;2544;03.10.2016;E.ON Humber Wind Ltd/ Balfour Beatty Investments and Equitix.;Humber Gateway A;Wind Offshore;;;219,00;;;;;;;3,00;73;;;Operational;Operational;;;8km from Yorkshire Coast;Offshore;Offshore;England;;566400;390760;DECC (S36);;;;;;02.01.1900;01.04.2008;;;;;;;09.02.2011;;;;;30.08.2013;30.05.2015;;
AA066;2539;02.05.2018;Orsted (formerly Dong Energy);Burbo Bank Extension (Burbo Bank 2);Wind Offshore;;;258,00;;;Investment Contract;;;258,00;8,00;32;;;Operational;Operational;;;Burbo Flats, Liverpool Bay, approximately 6.4km (4.0 miles) from the Sefton coastline and 7.2km (4.5 miles) from North Wirral.;Offshore;Offshore;England;;315815;398892;The Planning Inspectorate - National Infrastructure;EN010026;;;;;02.01.1900;22.03.2013;;;;;;;10.12.2014;;;;;10.06.2016;27.04.2017;;
N00455W;2513;01.05.2018;Ørsted;Centrica (Lincs);Wind Offshore;;;270,00;;;;;;;3,60;75;;;Operational;Operational;;;8 Km of Skegness;Offshore;Offshore;England;;567020;368144;DECC (S36);;;;;;02.01.1900;24.01.2007;;;;;;;21.10.2008;;;;;01.03.2010;24.07.2013;;
;6501;20.08.2020;Orsted (formerly Dong Energy)/ Macquarie Group;Race Bank (Phase 2);Wind Offshore;;;283,50;;;;;;;6,30;45;154,00;;Operational;Operational;;;"Race Bank, Greater Wash";Offshore;Offshore;England;;573300;363000;DECC (S36);;;;;;;23.01.2009;;;;;;;;;;;;07.07.2016;01.02.2018;;
N00463W;2515;20.08.2020;Orsted (formerly Dong Energy)/ Macquarie Group;Race Bank (Phase 1);Wind Offshore;;;289,80;;;;;;;6,30;46;154,00;;Operational;Operational;;;"Race Bank
Greater Wash";Offshore;Offshore;England;;573300;363000;DECC (S36);;;;;;02.01.1900;23.01.2009;;;;;;;06.07.2012;;;;;07.07.2016;08.06.2017;;
N00452W;2499;01.05.2018;Vattenfall;Thanet ;Wind Offshore;;;300,00;;;;;;;3,00;100;;;Operational;Operational;;;11km off North Foreland Kent;Offshore;Offshore;England;;652658;176367;DECC (S36);;;;;;02.01.1900;08.11.2005;;;;;;;18.12.2006;;;;;01.11.2009;16.09.2010;;
;9803;11.04.2024;RWE Renewables;Five Estuaries - Wind Farm;Wind Offshore;;;300,00;;No;;;;;3,80;79;320,00;;Planning Application Submitted;Application Submitted;;;Five Estuaries Offshore Wind Farm ;Offshore;Offshore;England;IP11;630357;234771;The Planning Inspectorate - National Infrastructure;EN010115;;;;;;25.03.2024;;;;;;;;;;;;;;;
N00453W;2512;05.11.2019;Equinor;Sheringham Shoal ;Wind Offshore;;;317,00;;;;;;;3,60;88;;;Operational;Operational;;;between 17 and 22 kilometres off the Norfolk coast, north of the seaside town of Sheringham.;Offshore;Offshore;England;;610671;364425;DECC (S36);;;;;;02.01.1900;30.05.2006;;;;;;;07.08.2008;;;;;30.06.2009;29.10.2012;;
;7691;11.01.2024;Equinor;Sheringham Extension Project;Wind Offshore;;;317,00;;;;;;;;27;326,00;;Planning Permission Granted;Awaiting Construction;;;Offshore, to the north and east of Sheringham Shoal OFW.;Offshore;Offshore;England;;613032;366092;The Planning Inspectorate - National Infrastructure;EN010109;;;;;;05.09.2022;;;;;;;18.04.2024;;;;;;;;
A0370;2526;02.10.2019;RWE Npower Renewables;Galloper Wind Farm;Wind Offshore;;;353,00;;;;;;;6,30;56;;;Operational;Operational;;;30 km from Suffolk coastline, South East Of Sizewell And Aldeburgh;Offshore;Offshore;England;;678139;227875;The Planning Inspectorate - National Infrastructure;EN010003;;;;;02.01.1900;21.11.2011;;;;;;;24.05.2013;;;;;29.07.2016;30.03.2018;;
N00449W;2519;20.08.2020;Scottish Power Renewables & Orsted (formerly Dong Energy);West of Duddon Sands;Wind Offshore;;;389,00;;;;;;;3,60;108;;;Operational;Operational;;;Off Duddon Sands, Cumbria. East Irish Sea;Offshore;Offshore;England;;304230;455334;DECC (S36);;;;;;02.01.1900;01.04.2006;;;;;;;04.09.2008;;;;;21.05.2013;30.10.2014;;
A0251;2520;06.12.2019; E.ON UK;Rampion Offshore Wind Farm (Hastings Zone);Wind Offshore;;;400,00;;;;;;;3,45;116;140,00;;Operational;Operational;;;off the Sussex coastline;Offshore;Offshore;England;;528790;83836;The Planning Inspectorate - National Infrastructure;EN010032;;;;;03.01.1900;25.03.2013;;;;;;;16.07.2014;;;;;25.01.2016;26.11.2017;;
N00558W;2538;02.01.2020;Statoil / Statkraft;Dudgeon East ;Wind Offshore;;;402,00;;;Investment Contract;;;402,00;6,00;67;;;Operational;Operational;;;Greater wash;Offshore;Offshore;England;;575000;361000;DECC (S36);;;;;;02.01.1900;12.06.2009;;;;;;;06.07.2012;;;;;17.03.2016;15.10.2017;;
