Old Ref ID;Ref ID;Record Last Updated (dd/mm/yyyy);Operator (or Applicant);Site Name;Technology Type;Storage Type;Storage Co-location REPD Ref ID;Installed Capacity (MWelec);Share Community Scheme;CHP Enabled;CfD Allocation Round;RO Banding (ROC/MWh);FiT Tariff (p/kWh);CfD Capacity (MW);Turbine Capacity (MW);No. of Turbines;Height of Turbines (m);Mounting Type for Solar;Development Status;Development Status (short);Are they re-applying (New REPD Ref);Are they re-applying (Old REPD Ref) ;Address;County;Region;Country;Post Code;X-coordinate;Y-coordinate;Planning Authority;Planning Application Reference;Appeal Reference;Secretary of State Reference;Type of Secretary of State Intervention;Judicial Review;Offshore Wind Round;Planning Application Submitted;Planning Application Withdrawn;Planning Permission Refused;Appeal Lodged;Appeal Withdrawn;Appeal Refused;Appeal Granted;Planning Permission Granted;Secretary of State - Intervened;Secretary of State - Refusal;Secretary of State - Granted;Planning Permission Expired;Under Construction;Operational;Heat Network Ref;Solar Site Area (sqm)
A0017;2527;02.07.2020;Red Rock Power (ICOL);Inch Cape;Wind Offshore;;;1080,00;;;AR4;;;1080,00;15,00;72;291,00;;Planning Permission Granted;Awaiting Construction;;;Offshore - Scottish Borders (15-22 KM off the east Angus coastline);Offshore;Offshore;Scotland;;387786;734231;Marine Scotland;;;;;;STW;04.07.2013;;;;;;;16.05.2017;;;;;;;;
A0476;2517;12.04.2022;SSE/Equinor (formerly Statoil, formerly Forewind);Dogger Bank C (was Teesside A);Wind Offshore;;;1200,00;;No;AR3;;;1200,00;6,00;200;;;Under Construction;Under Construction;;;125km off coast of Yorkshire;Offshore;Offshore;England;;675550;599192;The Planning Inspectorate - National Infrastructure;EN010051;;;;;03.01.1900;28.03.2014;;;;;;;05.08.2015;;;;;01.03.2022;;;
B0263;2525;03.09.2020;Orsted (formerly Dong Energy);Hornsea 1 - Heron & Njord;Wind Offshore;;;1218,00;;;AR3;;;1200,00;7,00;174;;;Operational;Operational;;;;Offshore;Offshore;England;;626000;426000;The Planning Inspectorate - National Infrastructure;EN010033;;;;;03.01.1900;30.07.2013;;;;;;;10.12.2014;;;;;26.01.2018;01.12.2019;;
A0249;2502;01.09.2022;Orsted (formerly Dong Energy);Hornsea 2 - Optimus and Breesea;Wind Offshore;;;1320,00;;;AR2;;;1386,00;8,00;165;;;Operational;Operational;;;The Wash, Sutton Bridge;Offshore;Offshore;England;;632326;457349;The Planning Inspectorate - National Infrastructure;EN010053;;;;;03.01.1900;30.01.2015;;;;;;;16.08.2016;;;;;01.09.2019;31.08.2022;;
B0585;2470;15.09.2022;Scottish Power Renewables;East Anglia 3 (EA 3);Wind Offshore;;;1400,00;;;AR4;;;1372,34;14,00;100;282,00;;Under Construction;Under Construction;;;East Anglia Offshore Wind Three, Underground Cabling Between Bramford And Bawdsey, Lowestoft;Offshore;Offshore;England;NR32;685500;257000;The Planning Inspectorate - National Infrastructure;EN010056;;;;;03.01.1900;18.11.2015;;;;;;;07.08.2017;;;;;01.08.2022;;;
;6483;22.12.2022;RWE Renewables UK Limited;The East Anglia Array - Norfolk Boreas;Wind Offshore;;;1400,00;;;AR4;;;1396,00;;;;;Planning Permission Granted;Awaiting Construction;;;North Sea, off the East Anglia coast;Offshore;Offshore;England;;708047;312194;The Planning Inspectorate - National Infrastructure;EN010087;;;;;;11.06.2019;;;;;;;10.12.2021;;;;10.12.2026;;;;
;6556;13.09.2022;RWE Renewables UK Limited;Sofia (Teesside B);Wind Offshore;;;1400,00;;;AR3;;;14,00;;100;252,00;;Under Construction;Under Construction;;;125km off coast of Yorkshire;Offshore;Offshore;England;;675550;599192;The Planning Inspectorate - National Infrastructure;EN010051;;;;;;28.03.2014;;;;;;;05.08.2015;;;;;01.03.2022;;;
;10918;11.04.2024;BP Oil UK Limited / ENBW UK Limited;Mona Offshore Wind Farm;Wind Offshore;;;1500,00;;No;;;;;15,60;96;324,00;;Planning Application Submitted;Application Submitted;;;30km offshore in the Irish Sea;Offshore;Offshore;England;FY5;278986;416968;The Planning Inspectorate - National Infrastructure;EN010137;;;;;;22.02.2024;;;;;;;;;;;;;;;
;11663;11.04.2024;Green Investment Group / Total Energies;Outer Dowsing Offshore Wind Farm;Wind Offshore;;;1500,00;;No;;;;;15,00;100;403,00;;Planning Application Submitted;Application Submitted;;;Outer Dowsing Offshore Wind Farm, Lincoln;Offshore;Offshore;England;LN1;641340;395479;The Planning Inspectorate - National Infrastructure;EN010130;;;;;;19.03.2024;;;;;;;;;;;;;;;
;10772;15.12.2023;Total Energies / RIDG;West of Orkney Wind Farm;Wind Offshore;;;2000,00;;No;;;;;16,00;125;359,90;;Planning Application Submitted;Application Submitted;;;30km W/O Orkney, Orkney;Offshore;Offshore;Scotland;N1;289696;998864;Marine Scotland;;;;;;;18.09.2023;;;;;;;;;;;;;;;
B0850;2472;18.03.2022;Orsted (formerly Dong Energy);Hornsea 3;Wind Offshore;;;2400,00;;No;AR4;;;2852,00;10,00;231;;;Planning Permission Granted;Awaiting Construction;;;120km Offshore from Cromer;Offshore;Offshore;England;;626000;426000;The Planning Inspectorate - National Infrastructure;EN010080;;;;;03.01.1900;14.05.2018;;;;;;;30.12.2020;;;;13.12.2027;;;;
A0248;2541;12.04.2022;SSE/Equinor (formerly Statoil, formerly Forewind);Dogger Bank A & B (was Creyke Beck A & B);Wind Offshore;;;2400,00;;;AR3;;;2400,00;6,00;400;315,00;;Under Construction;Under Construction;;;125km off coast of Yorkshire;Offshore;Offshore;England;;629000;681000;The Planning Inspectorate - National Infrastructure;EN010021;;;;;03.01.1900;29.08.2013;;;;;;;17.02.2015;;;;;01.07.2021;;;
C1830;2473;19.07.2023;Orsted (formerly Dong Energy);Hornsea 4;Wind Offshore;;;2600,00;;;;;;;14,40;180;;;Planning Permission Granted;Awaiting Construction;;;69km offshore from Flamborough;Offshore;Offshore;England;;626000;426000;The Planning Inspectorate - National Infrastructure;EN010098;;;;;03.01.1900;29.09.2021;;;;;;;12.07.2023;;;;12.07.2030;;;;
A0250;2484;22.12.2022;RWE Renewables UK Limited;The East Anglia Array - Norfolk Vanguard;Wind Offshore;;;2800,00;;No;;;;;;145;350,00;;Planning Permission Granted;Awaiting Construction;;;North Sea, off the East Anglia coast;Offshore;Offshore;England;;708047;312194;The Planning Inspectorate - National Infrastructure;EN010079;;;;;03.01.1900;11.07.2018;;18.02.2021;;;;;11.02.2022;;;11.02.2022;11.02.2027;;;;
;9873;01.11.2021;Scottish Southern Energy Renewables ;Berwick Bank Offshore Wind Farm ;Wind Offshore;;;4100,00;;No;;;;;13,30;307;200,00;;Planning Application Submitted;Application Submitted;;;Berwick Bank Offshore Wind Farm, E/O St Abbs Head, Coastline, Eyemouth;Offshore;Offshore;Scotland;TD14;432997;728012;Marine Scotland;NA;;;;;;09.12.2022;;;;;;;;;;;;;;;
;5863;22.08.2019;Cierco;Forthwind;Wind Offshore;;;;;;AR3;;;12,00;;1;280,00;;Revised;Revised;14484;;Forth of Firth;Offshore;Offshore;Scotland;;338141;696278;Marine Scotland;;;;;;;06.07.2015;;;;;;;21.12.2016;;;;;;;;
;7698;09.01.2024;RWE Renewables UK Limited;Rampion Wind Farm (Extension), (Rampion 2);Wind Offshore;;;;;;;;;;;90;325,00;;Planning Application Submitted;Application Submitted;;;Rampion Wind Farm, East Quay, Newhaven;Offshore;Offshore;England;BN9;528790;83836;The Planning Inspectorate - National Infrastructure;EN010117;;;;;;10.08.2023;;;;;;;;;;;;;;;
